data;hora ;bairro_origem;bairro_destino;valor ;distância_km
25/03/2026;08:18;Água Verde;Rebouças;7.69;3,3
25/03/2026;08:37;Rebouças;Parolin;6.7;0,8
25/03/2026;08:41;Centro;Hauer;6.6;1,9
25/03/2026;10:00;Hauer;Boqueirão;6.6;1,8
26/03/2026;07:27;Lindóia;Água Verde;12.5;2,7
26/03/2026;07:36;Portão;Fazendinha;17.2;4,8
26/03/2026;07:53;Fazendinha;Fazendinha;7.2;0,8
26/03/2026;08:00;Fazendinha;Guaíra;13.2;5,6
26/03/2026;08:21;Água Verde;Água Verde;6.5;1,6
26/03/2026;08:28;Água Verde;Água Verde;6.5;2
26/03/2026;08:34;Água Verde;Rebouças;7.6;3,3
26/03/2026;08:57;Água Verde;Água Verde;7.1;3
26/03/2026;09:14;Água Verde;Água Verde;6.8;3
26/03/2026;09:33;Água Verde;Rebouças;6.5;1,9
26/03/2026;09:42;Água Verde;Portão;6.6;3,8
26/03/2026;09:54;Portão;Água Verde;7.3;3
27/03/2026;07:36;Novo Mundo;Parolin;10.5;2,9
27/03/2026;07:41;Guaíra;Novo Mundo;8.1;1,8
27/03/2026;07:50;Lindóia;Novo Mundo;6.9;2
27/03/2026;07:57;Novo Mundo;Xaxim;9.4;4,4
27/03/2026;08:17;Xaxim;Boqueirão;6.6;2,4
27/03/2026;08:31;Boqueirão ;Hauer;10.00;4,6
27/03/2026;08:46;Hauer;Boqueirão;6.9;2,7
27/03/2026;09:19;Boqueirão ;Hauer;6.5;1,4
27/03/2026;09:30;Boqueirão ;Guabirotuba;9.4;4,7
27/03/2026;09:51;Hauer;Hauer;7.3;1,1
27/03/2026;09:57;Hauer;Guaíra;7.5;2,9
