data;periodo;horario;faixa_horaria;bairro_origem;regional_origem;bairro_destino;valor_corrida;distancia_km;faixa_distancia
27/03/2026;manhã;08:17;08h;Xaxim;Boqueirão;Hauer;6,6;2,4;Média
27/03/2026;manhã;09:19;09h;Boqueirão;Boqueirão;Uberaba;6,5;1,4;Curta
02/03/2026;tarde;17:13;17h;Centro;Matriz;Parolin;14,7;5;Longa
02/03/2026;tarde;16:53;16h;Parolin;Portão;Água Verde;14,39;4,7;Longa
02/03/2026;tarde;19:28;19h;Hauer;Boqueirão;Sítio Cercado;12;5,7;Longa
02/03/2026;tarde;17:55;17h;Boqueirão;Boqueirão;Boqueirão;11,5;4,8;Longa
02/03/2026;tarde;19:13;19h;Boqueirão;Boqueirão;Boqueirão;9,3;4,5;Longa
02/03/2026;tarde;17:39;17h;Boqueirão;Boqueirão;Hauer;8,8;3,3;Média
02/03/2026;tarde;16:38;16h;Hauer;Boqueirão;Boqueirão;8,12;2;Curta
02/03/2026;tarde;17:29;17h;Uberaba;Cajuru;Parolin;7,9;2,4;Média
02/03/2026;tarde;16:47;16h;Fanny;Portão;Sítio Cercado;6,9;1,3;Curta
02/03/2026;tarde;18:34;18h;Sítio Cercado;Bairro Novo;Guaíra;6,7;1,2;Curta
02/03/2026;tarde;15:42;15h;Água Verde;Portão;Guaíra;6,6;0,8;Curta
02/03/2026;tarde;15:30;15h;Lindóia;Portão;Parolin;6,6;1,1;Curta
02/03/2026;tarde;16:09;16h;Parolin;Portão;Sítio Cercado;6,6;1,5;Curta
02/03/2026;tarde;18:48;18h;Sítio Cercado;Bairro Novo;Guaíra;6,6;1,7;Curta
02/03/2026;tarde;19:49;19h;Água Verde;Portão;Boqueirão;6,5;2,2;Média
02/03/2026;tarde;19:00;19h;Alto Boqueirão;Boqueirão;Portão;6,5;2,3;Média
02/03/2026;tarde;15:05;15h;Guaíra;Portão;Lindóia;6,5;1,2;Curta
02/03/2026;tarde;19:55;19h;Guaíra;Portão;Lindóia;6,5;1,9;Curta
02/03/2026;tarde;15:11;15h;Portão;Portão;Sítio Cercado;6,5;2,2;Média
02/03/2026;tarde;18:16;18h;Sítio Cercado;Bairro Novo;Sítio Cercado;6,5;2;Curta
02/03/2026;tarde;18:28;18h;Sítio Cercado;Bairro Novo;Alto Boqueirão;6,5;2,1;Média
02/03/2026;tarde;18:58;18h;Sítio Cercado;Bairro Novo;Guaíra;6,5;1,8;Curta
03/03/2026;tarde;16:46;16h;Centro;Matriz;Boqueirão;22,5;6,4;Longa
03/03/2026;tarde;17:22;17h;Guaíra;Portão;Boqueirão;11,6;5,1;Longa
03/03/2026;tarde;19:03;19h;Sítio Cercado;Bairro Novo;Guaíra;10,7;6;Longa
03/03/2026;tarde;17:12;17h;Guaíra;Portão;Xaxim;9,5;3,5;Média
03/03/2026;tarde;18:16;18h;Boqueirão;Boqueirão;Mercês;9,4;2,9;Média
03/03/2026;tarde;15:59;15h;Centro;Matriz;Bigorrílho;8,9;3;Média
03/03/2026;tarde;16:17;16h;Mercês;Matriz;Pinheirinho;8,4;0,9;Curta
03/03/2026;tarde;18:26;18h;Xaxim;Boqueirão;Xaxim;8,1;2,6;Média
03/03/2026;tarde;17:54;17h;Centro;Matriz;Centro;8;2,8;Média
03/03/2026;tarde;16:25;16h;Centro;Matriz;Boqueirão;7,7;2,6;Média
03/03/2026;tarde;17:44;17h;Boqueirão;Boqueirão;Centro;7,5;1,5;Curta
03/03/2026;tarde;15:38;15h;Rebouças;Matriz;Rebouças;6,9;1,7;Curta
03/03/2026;tarde;15:33;15h;Centro;Matriz;Mercês;6,8;1,9;Curta
03/03/2026;tarde;16:05;16h;Mercês;Matriz;Centro;6,8;1,7;Curta
03/03/2026;tarde;15:05;15h;São Francisco;Matriz;Centro;6,8;2,8;Média
03/03/2026;tarde;15:18;15h;Alto da Glória;Matriz;Hauer;6,5;1,9;Curta
03/03/2026;tarde;17:43;17h;Boqueirão;Boqueirão;Sítio Cercado;6,5;1;Curta
03/03/2026;tarde;18:46;18h;Sítio Cercado;Bairro Novo;Sítio Cercado;6,5;1,8;Curta
03/03/2026;tarde;18:55;18h;Sítio Cercado;Bairro Novo;Xaxim;6,5;2,4;Média
03/03/2026;tarde;18:07;18h;Xaxim;Boqueirão;Sítio Cercado;6,5;1,3;Curta
03/03/2026;tarde;18:42;18h;Xaxim;Boqueirão;Portão;6,5;1,8;Curta
04/03/2026;tarde;18:05;18h;Xaxim;Boqueirão;Hauer;16,1;6,4;Longa
04/03/2026;tarde;17:39;17h;Hauer;Boqueirão;Novo Mundo;11,27;2;Curta
04/03/2026;tarde;18:54;18h;Novo Mundo;Portão;Boqueirão;10,4;2,3;Média
04/03/2026;tarde;16:52;16h;Hauer;Boqueirão;Hauer;10,12;2,2;Média
04/03/2026;tarde;17:21;17h;Guabirotuba;Cajuru;Novo Mundo;7,9;3,5;Média
04/03/2026;tarde;18:26;18h;Portão;Portão;Hauer;7,8;2,7;Média
04/03/2026;tarde;16:59;16h;Boqueirão;Boqueirão;Fanny;7,38;1,4;Curta
04/03/2026;tarde;16:06;16h;Hauer;Boqueirão;Guabirotuba;7,1;3,1;Média
04/03/2026;tarde;17:11;17h;Guabirotuba;Cajuru;Xaxim;6,7;1,1;Curta
04/03/2026;tarde;17:44;17h;Boqueirão;Boqueirão;Guabirotuba;6,6;0,9;Curta
04/03/2026;tarde;16:40;16h;Hauer;Boqueirão;Guaíra;6,5;1,5;Curta
04/03/2026;tarde;19:11;19h;Lindóia;Portão;Novo Mundo;6,5;1,7;Curta
04/03/2026;tarde;18:39;18h;Novo Mundo;Portão;Fanny;6,5;0,7;Curta
04/03/2026;tarde;19:00;19h;Novo Mundo;Portão;Hauer;6,5;2,6;Média
04/03/2026;tarde;16:29;16h;Parolin;Portão;Xaxim;6,5;1,6;Curta
04/03/2026;tarde;17:55;17h;Xaxim;Boqueirão;Fanny;6,5;1,2;Curta
05/03/2026;tarde;17:08;17h;Parolin;Portão;Guabirotuba;11,4;1,2;Curta
05/03/2026;tarde;17:43;17h;Boqueirão;Boqueirão;Hauer;9,2;2,5;Média
05/03/2026;tarde;15:37;15h;Xaxim;Boqueirão;Guaíra;8,9;3,8;Média
05/03/2026;tarde;19:34;19h;Hauer;Boqueirão;Lindóia;8,8;4,1;Longa
05/03/2026;tarde;16:15;16h;Guaíra;Portão;Boqueirão;8,3;2,3;Média
05/03/2026;tarde;17:56;17h;Boqueirão;Boqueirão;Hauer;8,2;3,3;Média
05/03/2026;tarde;17:23;17h;Hauer;Boqueirão;Capão Raso;8,1;2;Curta
05/03/2026;tarde;18:50;18h;Xaxim;Boqueirão;Boqueirão;8,1;2,8;Média
05/03/2026;tarde;19:03;19h;Novo Mundo;Portão;Boqueirão;8;4,6;Longa
05/03/2026;tarde;18:25;18h;Boqueirão;Boqueirão;Água Verde;7,8;2,6;Média
05/03/2026;tarde;16:46;16h;Água Verde;Portão;Guaíra;7,6;2;Curta
05/03/2026;tarde;16:48;16h;Água Verde;Portão;Novo Mundo;6,7;3,1;Média
05/03/2026;tarde;19:54;19h;Portão;Portão;Boqueirão;6,7;1,1;Curta
05/03/2026;tarde;15:04;15h;Boqueirão;Boqueirão;Xaxim;6,6;0,8;Curta
05/03/2026;tarde;15:08;15h;Boqueirão;Boqueirão;Parolin;6,6;1,7;Curta
05/03/2026;tarde;16:07;16h;Fanny;Portão;Parolin;6,6;1,7;Curta
05/03/2026;tarde;20:05;20h;Novo Mundo;Portão;Parolin;6,6;2,3;Média
05/03/2026;tarde;16:52;16h;Parolin;Portão;Boqueirão;6,6;1,2;Curta
05/03/2026;tarde;18:13;18h;Boqueirão;Boqueirão;Xaxim;6,5;2,2;Média
05/03/2026;tarde;18:37;18h;Boqueirão;Boqueirão;Boqueirão;6,5;3,1;Média
05/03/2026;tarde;19:19;19h;Boqueirão;Boqueirão;Fanny;6,5;1,6;Curta
05/03/2026;tarde;16:02;16h;Fanny;Portão;Hauer;6,5;1;Curta
05/03/2026;tarde;19:26;19h;Hauer;Boqueirão;Portão;6,5;1,2;Curta
05/03/2026;tarde;16:21;16h;Novo Mundo;Portão;Hauer;6,5;1,7;Curta
05/03/2026;tarde;15:46;15h;Uberaba;Cajuru;Xaxim;6,5;2,5;Média
05/03/2026;tarde;15:26;15h;Xaxim;Boqueirão;Boqueirão;6,5;1,6;Curta
06/03/2026;tarde;17:14;17h;Parolin;Portão;Xaxim;28,9;7,1;Longa
06/03/2026;tarde;17:59;17h;Hauer;Boqueirão;Fanny;15,9;4,4;Longa
06/03/2026;tarde;16:38;16h;Hauer;Boqueirão;Xaxim;12,3;2,6;Média
06/03/2026;tarde;18:29;18h;Boqueirão;Boqueirão;Rebouças;12;3,7;Média
06/03/2026;tarde;17:04;17h;Guaíra;Portão;Hauer;11,6;3,4;Média
06/03/2026;tarde;17:43;17h;Uberaba;Cajuru;Sítio Cercado;10,5;2;Curta
